トピック,役割,ターゲットKW,検索Vol,KD,現在順位,優先度,GSCクリック(3M),GSC表示(3M),GSC CTR,見込み増加/月,施策タイプ,既存URL,備考（リライト方針エグゼクティブサマリー）
C1: ハイヤーとは（全体ハブ）,ピラー,ハイヤーとは / ハイヤー 意味,4200〜5000,中,5位/12位（カニバリ）,13,18823,0.07%,280,リライト（統合）,https://vip-limo.jp/articles/ハイヤーのサービスと利用シーン/ + /articles/高級感と快適さを両立！リムジンハイヤーの魅力/,記事②を①に統合（301リダイレクト）。6000字超に拡充。3セグメント専用記事への誘導ハブ化。GSC: 「ハイヤーとは」+「ハイヤー とは」合算
C1: ハイヤーとは（全体ハブ）,クラスター,ハイヤー タクシー 違い,1500〜2500,中,8位〜10位,21,16272,0.13%,155,リライト,https://vip-limo.jp/articles/ハイヤーとタクシーの違い7選/,法人が「なぜタクシーでなくハイヤーか」の視点強化。コスト比較表・守秘義務・専属ドライバー追加。GSC: 4パターン合算
C1: ハイヤーとは（全体ハブ）,クラスター,ハイヤー 料金 / ハイヤー 料金 相場,2000〜3000,中,圏外（②が部分カバー）,-,-,-,100,新規作成,-,法人の予算検討に耐える料金特化記事。空港送迎・時間貸し・法人契約の費用を徹底解説。Ahrefs: 「ハイヤー 料金」親トピック
C1: ハイヤーとは（全体ハブ）,クラスター,観光ハイヤー / 観光タクシー 貸切,500〜1000,低,10位前後,9,1155,0.78%,25,リライト,https://vip-limo.jp/articles/観光ハイヤーのメリットデメリット/,国内旅行者＋宿泊業者向けに改修。宿泊業者TC2からの内部リンク設置。GSC: 3クエリ合算
法人（総務・秘書）TC1: 役員送迎・法人契約,ピラー,役員送迎 ハイヤー / 役員車 外注,500〜1000,低〜中,圏外,-,-,-,40,新規作成,-,セグメント中核記事。自社保有・リース・外注のコスト比較。法人導入事例を掲載
法人（総務・秘書）TC1: 役員送迎・法人契約,クラスター,ハイヤー 法人契約 / 法人 ハイヤー 契約,100,低,圏外,-,-,-,15,新規作成,-,Ahrefs Vol: 100。請求書払い・月額契約・スポット利用の違いを解説。法人導入フロー特化
法人（総務・秘書）TC1: 役員送迎・法人契約,クラスター,法人タクシー / 法人 タクシー 契約,70,低,圏外,-,-,-,10,新規作成,-,Ahrefs Vol: 70 / CPC ¥170（商用意図極めて高い）。ハイヤーとの使い分けガイド。法人タクシー契約の仕組み
法人（総務・秘書）TC1: 役員送迎・法人契約,クラスター,秘書 タクシー 手配 / 秘書 ハイヤー 予約,100〜200,低,圏外,3,413,0.73%,15,新規作成,-,秘書の実務フロー特化ガイド。予約から精算までの手順。GSC: 「ハイヤー 手配」関連
法人（総務・秘書）TC1: 役員送迎・法人契約,クラスター,VIP送迎 サービス / VIP 車 手配,200〜400,低,圏外,12,930,1.29%,20,新規作成,-,セキュリティ・プライバシー・多言語対応で比較。GSC: 3クエリ合算
法人（総務・秘書）TC2: 接待・ゴルフ・イベント送迎,ピラー,接待 ハイヤー / 接待 送迎,100〜200,低,圏外,18,1048,1.72%,15,新規作成,-,接待で差がつくハイヤー活用術。ゴルフ・会食・株主総会等のシーン別ガイド。GSC: 5クエリ合算
法人（総務・秘書）TC2: 接待・ゴルフ・イベント送迎,クラスター,ゴルフ送迎 / ゴルフ ハイヤー,50〜60,低,8位〜13位,9,954,0.94%,10,リライト,https://vip-limo.jp/golf/,Ahrefs Vol: 50。ゴルフLP（66clicks/2437imps）を大幅拡充。料金表・対応ゴルフ場一覧・予約フロー追加
法人（総務・秘書）TC2: 接待・ゴルフ・イベント送迎,クラスター,ゴルフバッグ タクシー / ゴルフ タクシー,70〜120,低,5位,5,155,3.23%,3,リライト,https://vip-limo.jp/articles/ゴルフバッグもラクラク積載！タクシーでスマー/,既存記事リライト。ゴルフバッグ積載台数・車種別比較追加
法人（総務・秘書）TC2: 接待・ゴルフ・イベント送迎,クラスター,結婚式 送迎 / 冠婚葬祭 ハイヤー,100,低,圏外,-,-,-,8,新規作成,-,Ahrefs Vol: 100（結婚式 送迎バス）。法人主催の式典・冠婚葬祭でのハイヤー活用。ホテル送迎との連携にも言及
法人（総務・秘書）TC3: 法人向け空港送迎,ピラー,空港送迎 / 空港送迎サービス,900,低,5位,16,1179,1.36%,30,リライト,https://vip-limo.jp/airport/,Ahrefs Vol: 900（KD 7）。空港送迎LPの全体リライト。法人・旅行会社向けB2B訴求セクション追加。各空港LPへのハブ化
法人（総務・秘書）TC3: 法人向け空港送迎,クラスター,羽田空港 ハイヤー / 羽田 ハイヤー,200〜300,中,3位,86,659,13.05%,10,リライト,https://vip-limo.jp/airport-hnd/,既に3位・CTR13%。料金表・予約フロー・法人利用案内を拡充。/airport_guide_hnd/との連携強化
法人（総務・秘書）TC3: 法人向け空港送迎,クラスター,成田空港 ハイヤー / 成田 ハイヤー,1000〜1500,中,12位,51,1511,3.37%,25,リライト,https://vip-limo.jp/airport-nrt/,12位→5位圏内が目標。料金比較・乗り場案内・予約方法を大幅拡充。最も改善余地が大きい
法人（総務・秘書）TC3: 法人向け空港送迎,クラスター,空港 ハイヤー乗り場 / VIP車寄せ,80〜150,低,3位,43,232,18.53%,5,リライト,https://vip-limo.jp/airport_guide_hnd/ + /airport_guide_nrt/,Ahrefs: 空港ハイヤー Vol40。ガイドページは高CTR（18.5%）。写真・マップ追加で強化。法人利用者向けVIP車寄せ案内を統合
法人（総務・秘書）TC4: ハイヤー予約・手配,ピラー,ハイヤー 予約 / ハイヤー 予約方法,800〜1200,中,7位,9,1738,0.52%,15,新規作成,-,CTR 0.52%と極低＝専用記事なしでTOPページが表示。法人・個人別の予約フロー完全ガイドを新規作成
法人（総務・秘書）TC4: ハイヤー予約・手配,クラスター,ハイヤー アプリ / ハイヤー配車アプリ,50〜80,低,4位,10,122,8.20%,5,新規作成,-,配車アプリ比較記事。タクシーアプリとの違い・法人利用可能なアプリを紹介
法人（総務・秘書）TC4: ハイヤー予約・手配,クラスター,ハイヤー 手配 / ハイヤー チャーター,500〜1000,低,19位,3,413,0.73%,10,新規作成,-,19位で表示はあるが専用記事なし。法人・個人別の手配フロー解説。チャーター利用ガイド
法人（総務・秘書）TC4: ハイヤー予約・手配,クラスター,ハイヤー 東京 / 東京ハイヤー,150,高,圏外,-,-,-,8,新規作成,-,Ahrefs Vol: 150（KD 34）。東京エリアのハイヤーサービス網羅ガイド。エリア別料金・対応範囲。KD高いが商用価値大
法人（総務・秘書）TC5: 車種・グレード選び,ピラー,アルファード ハイヤー / ハイヤー アルファード,600〜1000,低,10位,13,995,1.31%,10,リライト,https://vip-limo.jp/articles/快適と高級感を両立！アルファードハイヤーの魅/,既存記事をリライト。料金・予約方法・車内写真追加。英語版との言語切替リンク設置。GSC: 2クエリ合算
法人（総務・秘書）TC5: 車種・グレード選び,クラスター,高級車 送迎 / 高級車 送迎サービス,400〜800,低,1位/15位,7,844,0.83%,20,新規作成,-,表示805でクリック2（CTR極低）。専用記事で対策。結婚式・接待・VIP送迎での高級車活用シーン
法人（総務・秘書）TC5: 車種・グレード選び,クラスター,高級タクシー / 高級ハイヤー,300〜500,中,3位〜5位,17,603,2.82%,5,リライト,-,TOPページが表示中。専用セクション追加またはC1ハブ記事内で対応
国内の宿泊業者 TC1: ホテル送迎外注の基礎,ピラー,ホテル 送迎 外注 / ホテル 送迎サービス 業者,100〜300,低,圏外,-,-,-,15,新規作成,-,宿泊業者セグメント中核記事。自社運行vs外注のコスト比較・業者選定チェックリスト。Ahrefs: ホテル送迎 Vol20
